id,root,number,sense,salish,nicodemus,symbol,english,grammar,crossref,variant,cognate,editnote,userId,createdAt,updatedAt
"389","'c'r'","3","5","'a+n+c'ór=k?e?'","'ants'orkwe''","'//'","'salt water.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.979+00:00'","'2020-08-14T20:51:54.979+00:00'"
"390","'c'r'","3","6","'hn+c'or=k?e?'","'hnts'orkwe''","''","'brine. (lit. salt water)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.992+00:00'","'2020-08-14T20:51:54.992+00:00'"
"391","'c'r'","3","7","'hn+c'or+c[']ór'=k?e?'","'hnts'ortsor'kwe''","''","'soda?pop. (lit. sour water)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.008+00:00'","'2020-08-14T20:51:55.008+00:00'"
"392","'c'r'","3","8","'hn+c'+c'ór=us'","'hnts't'sorus'","''","'eyes wincing because of extremely sour sensation (ie. lemon).'","'vt.'","''","''","null","null","1","'2020-08-14T20:51:55.018+00:00'","'2020-08-14T20:51:55.018+00:00'"
"393","'c'r'","3","9","'hn+c'ór=s+m'","'hnts'orsm'","''","'winked (he...).'","'vi.'","''","''","null","null","1","'2020-08-14T20:51:55.022+00:00'","'2020-08-14T20:51:55.022+00:00'"
"394","'c'r'","3","10","'s+n+c'ór=s+m'","'snts'orsm'","'?'","'winking. (hnts'orkwe'nts hn+c'ór=k?e??nt?s salted he...it)'","'vi., vt.'","''","''","''","null","1","'2020-08-14T20:51:55.028+00:00'","'2020-08-14T20:51:55.028+00:00'"
"395","'c'r'","3","11","'hn+c'ór=s+m?nt?s'","'hnts'orsmnts'","''","'winked (he...at him).'","'vi.'","''","''","null","null","1","'2020-08-14T20:51:55.037+00:00'","'2020-08-14T20:51:55.037+00:00'"
"396","'c'r(')'","0","1","'c'a?ar'","'ts'a'ar'","'?'","'ache, hurt, ill. (to be hurt, ache)'","'stem adj.'","''","':'","null","null","1","'2020-08-14T20:51:55.041+00:00'","'2020-08-14T20:51:55.041+00:00'"
"397","'c'r(')'","0","2","'s+c'á?ar'","'sts'a'ar'","''","'ache (to...), pain (to feel...), illness.'","'vi., n.'","''","''","null","null","1","'2020-08-14T20:51:55.053+00:00'","'2020-08-14T20:51:55.053+00:00'"
"398","'c'r(')'","0","3","'s+c'a?ar'","'sts'a'ar'","''","'illness, sickness.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.056+00:00'","'2020-08-14T20:51:55.056+00:00'"
"399","'c'r(')'","0","4","'hn+c'ar'+n'","'hnts'a'rn'","''","'ailment, disease, sickness.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.063+00:00'","'2020-08-14T20:51:55.063+00:00'"
"400","'c'r(')'","0","5","'?i??c'a?ar'","'chi'ts'a'ar'","''","'ill, sick. (lit. I am sick)'","'adj.'","''","':'","null","null","1","'2020-08-14T20:51:55.068+00:00'","'2020-08-14T20:51:55.068+00:00'"
"401","'c'r(')'","0","6","'i·+c'á?ar=qn'","'iits'a'arqn'","'//'","'crapulous. (lit. He is having an ache as to his head)'","'adj.'","''","':'","null","null","1","'2020-08-14T20:51:55.081+00:00'","'2020-08-14T20:51:55.081+00:00'"
"402","'c'r(')'","0","7","'s+c'a?ar=qn'","'sts'a'arqn'","''","'headache.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.09+00:00'","'2020-08-14T20:51:55.09+00:00'"
"403","'c'r(')'","0","8","'s+c'a?ar=qín'","'sts'a'arqin'","''","'headache.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.104+00:00'","'2020-08-14T20:51:55.104+00:00'"
"404","'c'r(')'","0","9","'s+c'a?ar=qín=?n''","'sts'a'arqinsh'n'","''","'arthritis. (lit. feeling pain in the knee)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.109+00:00'","'2020-08-14T20:51:55.109+00:00'"
"405","'c'r(')'","0","10","'s+t+c'ar'=ilg?es'","'stts'a'rilgwes'","''","'ailing, ill (lit. feeling pain physically at heart).'","'vt., n.'","''","''","null","null","1","'2020-08-14T20:51:55.122+00:00'","'2020-08-14T20:51:55.122+00:00'"
"406","'c'r(')'","0","11","'ul hn+t+c'ar'=ílg?es+n'","'ul hntts'a'rilgwesn'","''","'clinical.'","'adj.'","''","':'","null","null","1","'2020-08-14T20:51:55.127+00:00'","'2020-08-14T20:51:55.127+00:00'"
"407","'c'r(')'","0","12","'hn+t+c'ar'=ílg?es+n'","'hntts'a'rilgwesn'","''","'clinic, hospital. (clinic. (lit. place for the sick)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.138+00:00'","'2020-08-14T20:51:55.138+00:00'"
"408","'c'r(')'","0","13","'s+ni?+c'á?+c'ar'=en?'","'sni'ts'a'ts'a'rench'","''","'pains (intestinal...).'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.143+00:00'","'2020-08-14T20:51:55.143+00:00'"
"409","'c'r(')'","0","14","'s+n+c'ar'=ín?+n''","'snts'a'rinch'n'","''","'backache. (lit. suffering pain in the back)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.157+00:00'","'2020-08-14T20:51:55.157+00:00'"
"410","'c'r(')'","0","15","'s+n+c'ar'=íne?'","'snts'a'rine''","''","'earache. (lit. having pain in the ear)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.166+00:00'","'2020-08-14T20:51:55.166+00:00'"
"411","'c'r(')'","0","16","'s+t+c'á?ar=g?l'","'stts'a'argul'","''","'bellyache, colic, stomach ache.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.18+00:00'","'2020-08-14T20:51:55.18+00:00'"
"412","'c's'","0","1","'c'es'","'ts'es'","'?'","'collect (by picking), salvage.'","'stem vt.'","''","''","null","null","1","'2020-08-14T20:51:55.189+00:00'","'2020-08-14T20:51:55.189+00:00'"
